return_id,entity_id,tax_year,submission_date,filing_status,preparation_method,total_revenue,total_expenses,taxable_profit,tax_liability,tax_credits_claimed,final_tax_due,paid_status
TR-5DC4F046,GR0000000019,2022,2023-08-20,Extended,Self-prepared,1733589.07,1681581.4,52007.67,14258.95,1480.56,12778.38,Partial
TR-CC23B7A7,GR0000000019,2023,2024-06-20,On-time,Agent-prepared,1381060.89,1339629.07,41431.83,11359.37,1267.75,10091.62,Paid
TR-49668ED9,GR0000000019,2024,2025-06-29,On-time,Self-prepared,1615713.25,1567241.86,48471.4,13289.41,1470.85,11818.55,Paid
TR-26B5C2D4,GR0000000020,2022,2023-06-22,On-time,Self-prepared,111819872.58,76856118.08,34963754.5,9459932.14,1311856.08,8148076.06,Paid
TR-BB43D0F8,GR0000000020,2023,2024-07-19,Extended,Self-prepared,137669103.87,115424039.14,22245064.72,6018712.97,915079.81,5103633.16,Partial
TR-6DB23877,GR0000000020,2024,2025-06-23,On-time,Self-prepared,122788105.37,97836236.79,24951868.57,6751076.56,1021465.1,5729611.46,Paid
TR-E761C1EE,GR0000000021,2022,2023-06-18,On-time,Agent-prepared,27038922.0,22821714.0,4217208.0,828660.07,145467.05,683193.02,Paid
TR-82A3F1B6,GR0000000021,2023,2024-06-19,On-time,Agent-prepared,23971763.0,21596876.0,2374887.0,466653.3,87694.13,378959.17,Paid
TR-1F7FC6B9,GR0000000021,2024,2025-06-14,On-time,Agent-prepared,52386570.0,47422290.0,4964280.0,975455.94,156176.51,819279.43,Paid
TR-D6FAF43A,GR0000000022,2022,2023-06-18,On-time,Agent-prepared,53732039.0,45693116.0,8038923.0,2224022.31,397763.77,1826258.54,Paid
TR-E5967456,GR0000000022,2023,2024-06-15,On-time,Agent-prepared,43887601.0,38321521.0,5566080.0,1539893.61,268782.66,1271110.94,Paid
TR-3D08877F,GR0000000022,2024,2025-06-23,On-time,Self-prepared,69895111.0,60843007.0,9052104.0,2504325.68,374125.68,2130200.0,Paid
TR-BD6982D2,GR0000000023,2022,2023-06-22,On-time,Agent-prepared,1957544.38,1898818.05,58726.33,16090.38,2899.96,13190.42,Partial
TR-ECC37683,GR0000000023,2023,2024-06-24,On-time,Self-prepared,2018954.77,1958386.13,60568.64,16595.16,2952.97,13642.18,Unpaid
TR-9D55EC0A,GR0000000023,2024,2025-06-27,On-time,Self-prepared,2983373.86,2893872.65,89501.22,24522.37,4349.31,20173.06,Partial
TR-39485371,GR0000000024,2022,2023-08-06,Late,Agent-prepared,867957.37,841918.65,26038.72,6691.62,1154.94,5536.69,Paid
TR-72D6B090,GR0000000024,2023,2024-06-21,On-time,Agent-prepared,720322.48,698712.8,21609.67,5553.41,989.14,4564.27,Paid
TR-A32CC263,GR0000000024,2024,2025-06-25,On-time,Agent-prepared,573076.79,555884.48,17192.3,4418.21,721.06,3697.15,Paid
TR-0DE417C9,GR0000000025,2022,2023-06-25,On-time,Agent-prepared,2877440.0,2387403.0,490037.0,122586.18,11042.1,111544.08,Paid
TR-4C176B53,GR0000000025,2023,2024-06-23,On-time,Agent-prepared,1716376.0,1423492.0,292884.0,73266.98,7551.6,65715.38,Partial
TR-FA9D5CFB,GR0000000025,2024,2025-06-25,On-time,Agent-prepared,1757023.0,1447120.0,309903.0,77524.4,8133.01,69391.39,Paid
TR-6B8DF997,GR0000000026,2022,2023-06-12,On-time,Agent-prepared,2034329.0,1813220.0,221109.0,61862.61,7147.65,54714.96,Paid
TR-A9DC3CB7,GR0000000026,2023,2024-06-13,On-time,Agent-prepared,1060754.0,969336.0,91418.0,25577.23,2544.84,23032.39,Paid
TR-3BBEE0D5,GR0000000026,2024,2025-06-15,On-time,Agent-prepared,3417437.0,3038774.0,378663.0,105943.58,10996.32,94947.26,Paid
TR-33CAF73F,GR0000000027,2022,2023-06-14,On-time,Agent-prepared,3129123.0,2849139.0,279984.0,70522.31,8175.93,62346.38,Partial
TR-93D064BE,GR0000000027,2023,2024-06-11,On-time,Agent-prepared,1904693.0,1629328.0,275365.0,69358.87,8405.16,60953.72,Paid
TR-A06E2EC6,GR0000000027,2024,2025-06-20,On-time,Self-prepared,2598517.0,2378815.0,219702.0,55338.49,8185.42,47153.08,Paid
TR-7320A08A,GR0000000028,2022,2023-06-19,On-time,Agent-prepared,2013436.0,1485534.0,527902.0,120908.87,7629.48,113279.39,Paid
TR-AFAC2653,GR0000000028,2023,2024-06-20,On-time,Self-prepared,4340886.0,3202761.0,1138125.0,260672.25,18208.28,242463.97,Paid
TR-0C264C90,GR0000000028,2024,2025-06-14,On-time,Self-prepared,3757535.0,3036602.0,720933.0,165120.02,10610.65,154509.38,Paid
TR-C6D4BA48,GR0000000029,2022,2023-06-14,On-time,Agent-prepared,814404.0,773683.8,40720.2,10744.01,1094.65,9649.36,Partial
TR-6B5628A0,GR0000000029,2023,2024-06-18,On-time,Agent-prepared,730900.0,694355.0,36545.0,9642.38,1086.49,8555.89,Paid
TR-1139538F,GR0000000029,2024,2025-06-23,On-time,Agent-prepared,1850981.0,1700134.0,150847.0,39800.91,4008.81,35792.1,Paid
TR-0B51FD4B,GR0000000030,2022,2023-06-19,On-time,Agent-prepared,1336609.0,1240034.0,96575.0,25411.44,2498.98,22912.47,Paid
TR-258CC5C2,GR0000000030,2023,2024-06-11,On-time,Agent-prepared,845889.0,803594.55,42294.45,11128.79,1095.33,10033.47,Paid
TR-CE9C9C4A,GR0000000030,2024,2025-06-18,On-time,Agent-prepared,1402841.0,1332698.95,70142.05,18456.23,1718.18,16738.05,Paid
TR-38D7663C,GR0000000031,2022,2023-06-16,On-time,Agent-prepared,404990.0,364860.0,40130.0,8065.42,1252.76,6812.66,Paid
TR-59CAB1CA,GR0000000031,2023,2024-06-14,On-time,Agent-prepared,639092.0,601230.0,37862.0,7609.59,1091.9,6517.69,Paid
TR-C0182D0D,GR0000000031,2024,2025-06-24,On-time,Agent-prepared,500680.0,462359.0,38321.0,7701.84,1062.28,6639.56,Paid
TR-615BC85E,GR0000000032,2022,2023-06-22,On-time,Self-prepared,104697266.0,94853935.0,9843331.0,1848008.4,329390.05,1518618.35,Paid
TR-67542463,GR0000000032,2023,2024-06-12,On-time,Self-prepared,87948278.0,80950287.0,6997991.0,1313818.07,275891.45,1037926.62,Paid
TR-6F91DE13,GR0000000032,2024,2025-06-11,On-time,Agent-prepared,147349923.0,138863318.0,8486605.0,1593293.71,294075.29,1299218.42,Paid
TR-B5E193CB,GR0000000033,2022,2023-06-10,On-time,Agent-prepared,60694500.0,40290843.0,20403657.0,4836336.81,662700.32,4173636.5,Paid
TR-E182BA7F,GR0000000033,2023,2024-09-26,Extended,Self-prepared,83829654.0,51266523.0,32563131.0,7718531.5,950743.41,6767788.09,Paid
TR-A6FF2437,GR0000000033,2024,2025-06-10,On-time,Self-prepared,52751102.0,37187942.0,15563160.0,3688980.05,519013.9,3169966.15,Paid
TR-4546A696,GR0000000034,2022,2023-06-21,On-time,Agent-prepared,1051374.0,993689.0,57685.0,13977.93,2060.32,11917.61,Paid
TR-0FE41772,GR0000000034,2023,2024-06-21,On-time,Agent-prepared,805268.0,759135.0,46133.0,11178.71,1632.02,9546.69,Paid
TR-291C9D28,GR0000000034,2024,2025-06-19,On-time,Agent-prepared,497270.0,455883.0,41387.0,10028.68,1516.8,8511.88,Paid
TR-89B46507,GR0000000035,2022,2023-06-20,On-time,Agent-prepared,38502481.0,32968745.0,5533736.0,1299705.59,282366.76,1017338.83,Paid
TR-93D3B08F,GR0000000035,2023,2024-06-14,On-time,Self-prepared,56200957.0,49997512.0,6203445.0,1456999.78,306497.81,1150501.97,Paid
TR-88168D60,GR0000000035,2024,2025-06-13,On-time,Agent-prepared,35864006.0,31146502.0,4717504.0,1107997.62,246154.01,861843.61,Paid
TR-993C0D58,GR0000000036,2022,2023-06-11,On-time,Agent-prepared,12167893.0,10100223.0,2067670.0,467905.54,66414.32,401491.22,Paid
TR-433F1115,GR0000000036,2023,2024-06-20,On-time,Agent-prepared,10066926.0,8657889.0,1409037.0,318859.5,44667.59,274191.9,Paid
TR-B8429A32,GR0000000036,2024,2025-06-20,On-time,Self-prepared,14933688.0,12550168.0,2383520.0,539381.14,81078.7,458302.44,Paid
TR-FF2732AD,GR0000000037,2022,2023-06-12,On-time,Agent-prepared,3459881.0,2895921.0,563960.0,154841.06,13512.66,141328.4,Paid
TR-C85428A7,GR0000000037,2023,2024-08-27,Extended,Agent-prepared,2381023.0,2055006.0,326017.0,89511.35,7973.21,81538.14,Paid
TR-621AE242,GR0000000037,2024,2025-08-07,Late,Agent-prepared,2266213.0,1930006.0,336207.0,92309.12,9522.41,82786.71,Paid
TR-69F6700F,GR0000000038,2022,2023-06-11,On-time,Agent-prepared,916016.0,744391.0,171625.0,46537.47,6073.08,40464.4,Partial
TR-18861442,GR0000000038,2023,2024-06-21,On-time,Agent-prepared,1313467.0,1001981.0,311486.0,84461.89,9401.07,75060.82,Paid
TR-DC0B5589,GR0000000038,2024,2025-06-18,On-time,Agent-prepared,713105.0,521867.0,191238.0,51855.69,6249.99,45605.71,Paid
TR-EEB6CB81,GR0000000039,2022,2023-06-20,On-time,Agent-prepared,316494.36,277720.44,38773.93,9181.2,1083.57,8097.63,Paid
TR-903D2B16,GR0000000039,2023,2024-09-27,Extended,Agent-prepared,82460.65,75712.66,6747.99,1597.84,175.19,1422.65,Partial
TR-CD04BDC0,GR0000000039,2024,2025-08-23,Extended,Agent-prepared,96161.01,93276.18,2884.83,683.09,80.05,603.04,Paid
TR-703078C8,GR0000000040,2022,2023-06-17,On-time,Agent-prepared,35564232.0,31047141.0,4517091.0,1020233.2,199357.63,820875.58,Paid
TR-3E29988D,GR0000000040,2023,2024-06-19,On-time,Agent-prepared,28970749.0,25493435.0,3477314.0,785388.47,173277.76,612110.71,Paid
TR-2A1BB0C2,GR0000000040,2024,2025-06-12,On-time,Agent-prepared,35999362.0,32472427.0,3526935.0,796595.91,164980.91,631615.0,Paid
TR-45CBF8CF,GR0000000041,2022,2023-06-20,On-time,Agent-prepared,321524.0,261415.0,60109.0,15056.2,1485.77,13570.43,Paid
TR-1D44FC19,GR0000000041,2023,2024-06-18,On-time,Agent-prepared,108592.0,92513.0,16079.0,4027.49,380.2,3647.29,Paid
TR-9F72BBED,GR0000000041,2024,2025-06-17,On-time,Self-prepared,134984.0,115971.0,19013.0,4762.41,422.22,4340.19,Paid
TR-9FEFC8A7,GR0000000042,2024,2025-06-13,On-time,Agent-prepared,5010904.0,3378746.0,1632158.0,409923.25,42058.91,367864.34,Paid
TR-77ACA2AD,GR0000000043,2022,2023-06-22,On-time,Agent-prepared,8378245.0,6199569.0,2178676.0,442454.56,40913.53,401541.03,Paid
TR-92411DBD,GR0000000043,2023,2024-06-17,On-time,Self-prepared,6897674.0,5115216.0,1782458.0,361988.96,31424.47,330564.49,Paid
TR-8038CD78,GR0000000043,2024,2025-06-18,On-time,Agent-prepared,9151663.0,6718481.0,2433182.0,494140.69,41905.33,452235.37,Paid
TR-2634E38A,GR0000000044,2022,2023-06-24,On-time,Agent-prepared,430938.0,386251.0,44687.0,10397.9,1113.87,9284.03,Paid
TR-6AF186F8,GR0000000044,2023,2024-06-14,On-time,Agent-prepared,699534.0,635581.0,63953.0,14880.77,1728.28,13152.48,Paid
TR-97B8796C,GR0000000044,2024,2025-06-19,On-time,Agent-prepared,371053.0,343142.0,27911.0,6494.41,728.09,5766.32,Paid
TR-ECFCE6CF,GR0000000045,2022,2023-06-12,On-time,Self-prepared,230459.0,216126.0,14333.0,3465.0,326.7,3138.31,Paid
TR-9221A3A6,GR0000000045,2023,2024-06-11,On-time,Agent-prepared,203602.0,186649.0,16953.0,4098.39,425.13,3673.26,Paid
TR-E87CC586,GR0000000045,2024,2025-06-25,On-time,Agent-prepared,208053.0,195673.0,12380.0,2992.87,340.74,2652.13,Paid
TR-FAFC5A77,GR0000000046,2024,2025-06-15,On-time,Agent-prepared,6668580.0,6271582.0,396998.0,107610.85,14975.35,92635.51,Paid
TR-B0E6F784,GR0000000047,2022,2023-06-12,On-time,Agent-prepared,19406344.0,17485713.0,1920631.0,413290.26,86249.45,327040.81,Paid
TR-912C154D,GR0000000047,2023,2024-06-14,On-time,Agent-prepared,36876979.0,34172816.0,2704163.0,581894.3,106012.46,475881.84,Paid
TR-D528C20A,GR0000000047,2024,2025-06-24,On-time,Self-prepared,26305605.0,24187673.0,2117932.0,455746.4,102623.51,353122.89,Paid
TR-5AFDEB4C,GR0000000048,2022,2023-06-23,On-time,Agent-prepared,5102324.0,4567151.0,535173.0,130503.34,13962.03,116541.31,Paid
TR-7CD40EDD,GR0000000048,2023,2024-06-10,On-time,Self-prepared,3510372.0,3183910.0,326462.0,79608.62,8425.17,71183.45,Paid
TR-EFF510D3,GR0000000048,2024,2025-06-13,On-time,Self-prepared,5119490.0,4574006.0,545484.0,133017.71,14074.61,118943.1,Paid
TR-C7DD91C4,GR0000000049,2022,2023-06-14,On-time,Agent-prepared,388818.0,306067.0,82751.0,18648.0,1659.64,16988.35,Paid
TR-7FFB1422,GR0000000049,2023,2024-06-15,On-time,Agent-prepared,329826.0,274624.0,55202.0,12439.81,1105.42,11334.39,Paid
TR-EAD92840,GR0000000049,2024,2025-06-23,On-time,Agent-prepared,296204.0,243027.0,53177.0,11983.48,1190.75,10792.72,Paid
TR-0B4BAECE,GR0000000050,2022,2023-06-23,On-time,Agent-prepared,311716732.83,302365230.85,9351501.98,2148541.78,514735.98,1633805.79,Partial
TR-4A483736,GR0000000050,2023,2024-06-27,On-time,Agent-prepared,203145577.99,193891980.25,9253597.74,2126047.92,570524.79,1555523.13,Unpaid
TR-02973E1D,GR0000000050,2024,2025-06-24,On-time,Agent-prepared,277942804.3,269604520.17,8338284.13,1915751.27,484423.36,1431327.91,Unpaid
TR-18D24D9A,GR0000000051,2022,2023-06-17,On-time,Self-prepared,9123268.0,7365257.0,1758011.0,385850.75,60133.25,325717.5,Paid
TR-AE43DFA5,GR0000000051,2023,2024-06-13,On-time,Agent-prepared,6617991.0,5898087.0,719904.0,158005.55,25514.94,132490.61,Paid
TR-A9748BD7,GR0000000051,2024,2025-06-15,On-time,Agent-prepared,5492237.0,4534711.0,957526.0,210159.17,27982.46,182176.71,Paid
TR-887FD18C,GR0000000052,2022,2023-06-24,On-time,Agent-prepared,1147739.0,1054136.0,93603.0,27918.82,2415.5,25503.31,Paid
TR-5C04BAE3,GR0000000052,2023,2024-06-10,On-time,Agent-prepared,1744374.0,1633725.0,110649.0,33003.1,3056.62,29946.48,Paid
TR-979AC86B,GR0000000052,2024,2025-06-16,On-time,Agent-prepared,1358655.0,1238080.0,120575.0,35963.71,3798.5,32165.22,Paid
TR-ED153809,GR0000000053,2022,2023-06-21,On-time,Self-prepared,1908536.85,1851280.75,57256.11,14278.03,1677.69,12600.34,Paid
TR-4535FFAC,GR0000000053,2023,2024-06-25,On-time,Agent-prepared,1091180.05,1055612.35,35567.7,8869.56,1084.46,7785.1,Paid
TR-398FBCEF,GR0000000053,2024,2025-07-24,Late,Self-prepared,656352.98,636662.39,19690.59,4910.27,620.61,4289.66,Partial
TR-95A5BA38,GR0000000054,2022,2023-06-20,On-time,Agent-prepared,2407276.0,2173644.0,233632.0,63802.9,9580.75,54222.15,Paid
TR-F5C21A75,GR0000000054,2023,2024-06-23,On-time,Agent-prepared,2486712.0,2346136.0,140576.0,38390.1,6213.72,32176.38,Paid
TR-0AD63DDA,GR0000000054,2024,2025-06-15,On-time,Self-prepared,1757917.0,1648962.0,108955.0,29754.68,4600.97,25153.71,Paid
TR-38431394,GR0000000055,2023,2024-09-23,Extended,Agent-prepared,227755913.0,145363332.0,82392581.0,15574997.96,4054369.86,11520628.1,Paid
TR-29F490F9,GR0000000055,2024,2025-06-20,On-time,Self-prepared,335578349.0,213532963.0,122045386.0,23070725.72,5656007.62,17414718.1,Paid
TR-C7F193D3,GR0000000056,2022,2023-06-20,On-time,Agent-prepared,267421.0,247659.0,19762.0,5874.72,462.7,5412.02,Paid
TR-2A76EE16,GR0000000056,2023,2024-06-25,On-time,Agent-prepared,222732.0,205020.0,17712.0,5265.31,448.32,4816.99,Paid
TR-C7912091,GR0000000056,2024,2025-06-11,On-time,Agent-prepared,167616.0,157384.0,10232.0,3041.7,264.19,2777.51,Paid
TR-941F37A6,GR0000000057,2022,2023-06-24,On-time,Agent-prepared,1665194.0,1543937.0,121257.0,27089.45,2725.43,24364.02,Paid
TR-CAB547E9,GR0000000057,2023,2024-06-12,On-time,Self-prepared,2245224.0,2088526.0,156698.0,35007.16,3704.57,31302.58,Paid
TR-E1F031F8,GR0000000057,2024,2025-06-13,On-time,Agent-prepared,1107762.0,1052373.9,55388.1,12373.99,1226.65,11147.34,Paid
TR-D71C6236,GR0000000058,2022,2023-06-23,On-time,Agent-prepared,25510074.0,23472674.0,2037400.0,502138.77,52810.15,449328.62,Paid
TR-7EB3FCEA,GR0000000058,2023,2024-06-14,On-time,Agent-prepared,23222398.0,20751428.0,2470970.0,608996.68,76948.1,532048.58,Paid
TR-6D49FBD6,GR0000000058,2024,2025-06-18,On-time,Agent-prepared,36224145.0,32261699.0,3962446.0,976586.71,106034.34,870552.37,Paid
TR-00FC5310,GR0000000059,2022,2023-06-16,On-time,Agent-prepared,43788254.0,33825769.0,9962485.0,2016591.74,417475.67,1599116.08,Paid
TR-9A838938,GR0000000059,2023,2024-06-14,On-time,Agent-prepared,37792521.0,29362921.0,8429600.0,1706307.39,289481.58,1416825.81,Paid
TR-F4B4F1E3,GR0000000059,2024,2025-06-14,On-time,Agent-prepared,47931875.0,40165404.0,7766471.0,1572077.78,285911.63,1286166.15,Paid
TR-D654AEFF,GR0000000060,2022,2023-06-20,On-time,Self-prepared,47348818.0,43607033.0,3741785.0,840496.74,133845.95,706650.79,Paid
TR-58D4EDD2,GR0000000060,2023,2024-06-23,On-time,Agent-prepared,51703267.0,45264197.0,6439070.0,1446373.14,241804.31,1204568.83,Paid
TR-C78359EE,GR0000000060,2024,2025-06-17,On-time,Self-prepared,49785125.0,45313160.0,4471965.0,1004513.08,149343.63,855169.45,Paid
TR-34DA2FFF,GR0000000061,2022,2023-06-18,On-time,Agent-prepared,1768365.0,1279895.0,488470.0,126786.78,8818.01,117968.77,Paid
TR-8678DCC9,GR0000000061,2023,2024-06-14,On-time,Agent-prepared,3370616.0,2605317.0,765299.0,198640.24,11442.69,187197.55,Paid
TR-A0C02BE7,GR0000000061,2024,2025-06-21,On-time,Self-prepared,3025553.0,2084318.0,941235.0,244306.01,15232.71,229073.3,Partial
TR-E6432E95,GR0000000062,2022,2023-08-25,Extended,Agent-prepared,12335064.0,11103123.0,1231941.0,337846.67,36016.68,301829.99,Paid
TR-4059F018,GR0000000062,2023,2024-06-12,On-time,Agent-prepared,13329638.0,12115736.0,1213902.0,332899.67,32130.47,300769.19,Paid
TR-1F6085F9,GR0000000062,2024,2025-06-14,On-time,Agent-prepared,10429072.0,9129685.0,1299387.0,356343.01,41988.0,314355.01,Paid
TR-8ABD79EB,GR0000000063,2022,2023-06-27,On-time,Agent-prepared,1225787.7,1213529.83,12257.88,3133.25,268.58,2864.67,Unpaid
TR-A66FF3EF,GR0000000063,2023,2024-06-29,On-time,Self-prepared,521886.2,516667.34,5218.86,1334.0,117.51,1216.49,Unpaid
TR-AA39599F,GR0000000063,2024,2025-06-25,On-time,Self-prepared,385925.42,382066.17,3859.25,986.47,90.1,896.37,Partial
TR-EA94FE70,GR0000000064,2022,2023-06-10,On-time,Agent-prepared,512329.0,477909.0,34420.0,8883.55,788.1,8095.45,Paid
TR-7EB8E9FC,GR0000000064,2023,2024-06-11,On-time,Agent-prepared,645093.0,601364.0,43729.0,11286.13,1111.04,10175.1,Paid
TR-1D91B825,GR0000000064,2024,2025-06-20,On-time,Agent-prepared,583000.0,537423.0,45577.0,11763.09,1107.97,10655.12,Paid
TR-5AB74722,GR0000000065,2022,2023-06-17,On-time,Agent-prepared,37841.0,35238.0,2603.0,659.03,64.95,594.08,Paid
