DeclarationNumber,DeclarantIdentification,PointOfClearance,ErrorCode,ErrorDescription,ErrorPointer,RejectionTimestamp
DK220192357,DK7045593274,CO000003,CWM20006,Service is temporarily unavailable.,,2022-01-03 18:00:08
DK220149702,DK6649827836,CO000003,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2022-01-04 07:39:50
DK220180490,DK6923206003,CO000001,CWM12072,Gross mass should be greater or equal than the sum of all individual gross mass,Import_Declaration.TotalGrossMass,2022-01-04 08:07:46
DK220180490,DK6923206003,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-01-04 08:07:46
DK220157653,DK6464693977,CO000003,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-01-04 10:56:25
DK220172457,DK4700855390,CO000003,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-01-04 11:02:22
DK220129375,DK9526836552,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-01-04 11:23:38
DK220114494,DK4034047118,CO000001,CWM12006,Authorization warning: invalid import/export license number,Import_Declaration.ExporterIdentification,2022-01-04 11:41:44
DK220142743,DK6242173772,CO000002,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2022-01-04 12:12:58
DK220127683,DK5570828113,CO000001,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-01-04 13:32:00
DK220115434,DK4070964768,CO000001,CWM12072,Gross mass should be greater or equal than the sum of all individual gross mass,Import_Declaration.TotalGrossMass,2022-01-04 14:37:11
DK220164416,DK7114223633,CO000001,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-01-04 14:53:40
DK220135219,DK3376077463,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-01-04 15:21:58
DK220146948,DK7114223633,CO000001,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-01-04 15:57:22
DK220119628,DK7271954644,CO000003,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2022-01-04 16:07:57
DK220141336,DK5570828113,CO000001,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-01-04 16:13:31
DK220178369,DK4466589567,CO000001,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-01-04 16:57:13
DK220123110,DK3987248494,CO000003,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2022-01-04 19:18:23
DK220194190,DK3792347639,CO000003,CWM12070,Total number of packages should be greater than zero if there is at least one package for declared items,Import_Declaration.TotalPackages,2022-01-04 20:56:06
DK220111761,DK9703905715,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-01-04 23:17:34
DK220148936,DK6288227800,CO000003,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2022-01-05 08:26:56
DK220184927,DK4332894265,CO000001,CWM12070,Total number of packages should be greater than zero if there is at least one package for declared items,Import_Declaration.TotalPackages,2022-01-05 08:43:18
DK220136685,DK6642201119,CO000001,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2022-01-05 08:44:06
DK220124466,DK9333798503,CO000002,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2022-01-05 09:18:29
DK220180953,DK9786748825,CO000001,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2022-01-05 09:51:04
DK220141743,DK8982597239,CO000001,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-01-05 10:26:23
DK220150124,DK6204041308,CO000001,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-01-05 10:29:57
DK220181861,DK9597198563,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-01-05 11:14:30
DK220197987,DK7271954644,CO000002,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-01-05 13:58:17
DK220147231,DK1127978094,CO000003,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2022-01-05 15:22:55
DK220114879,DK4696689457,CO000003,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-01-05 20:24:46
DK220184616,DK5567816720,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-01-06 03:08:13
DK220130334,DK9573276057,CO000003,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2022-01-06 05:05:23
DK220186913,DK2625792787,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-01-06 06:57:05
DK220170967,DK8106906538,CO000003,CWM10039,The LRN maximum allowed length is 20 characters,Import_Declaration.LRN,2022-01-06 07:14:38
DK220170967,DK8106906538,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-01-06 07:14:38
DK220151346,DK7166868574,CO000003,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2022-01-06 08:03:58
DK220118545,DK1983297492,CO000001,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2022-01-06 08:26:06
DK220133718,DK8763140509,CO000002,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-01-06 08:40:27
DK220118702,DK5067116918,CO000002,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-01-06 14:13:17
DK220197458,DK7114223633,CO000001,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-01-06 14:31:57
DK220159321,DK7462972995,CO000003,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2022-01-06 15:38:20
DK220113737,DK4882343658,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-01-06 18:20:26
DK220115187,DK2867302554,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-01-06 18:26:37
DK220121799,DK5284391408,CO000003,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-01-06 18:35:15
DK220114323,DK6242173772,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-01-06 18:55:20
DK220127717,DK9573276057,CO000003,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2022-01-07 03:33:28
DK220181509,DK1965067727,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-01-07 06:31:02
DK220194698,DK4482238042,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-01-07 08:02:16
DK220181132,DK6642201119,CO000001,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2022-01-07 08:27:18
DK220174717,DK2627677155,CO000001,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2022-01-07 08:38:47
DK220170745,DK4482238042,CO000001,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2022-01-07 08:55:51
DK220157214,DK6633778586,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-01-07 09:00:05
DK220171272,DK1977515194,CO000003,CWM12006,Authorization warning: invalid import/export license number,Import_Declaration.ExporterIdentification,2022-01-07 09:08:32
DK220137880,DK7625464411,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-01-07 09:30:18
DK220155025,DK1676168421,CO000002,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-01-07 09:32:07
DK220162866,DK3303082117,CO000001,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2022-01-07 09:54:53
DK220160942,DK9526836552,CO000003,CWM10023,Wrong procedure category,Import_Declaration.AdditionalCode,2022-01-07 09:54:58
DK220154685,DK2825989011,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-01-07 13:24:52
DK220134131,DK2145921803,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-01-07 15:09:56
DK220115783,DK9986353481,CO000003,CWM12006,Authorization warning: invalid import/export license number,Import_Declaration.ExporterIdentification,2022-01-07 16:15:05
DK220132021,DK6464693977,CO000003,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-01-07 16:36:47
DK220178738,DK5837082260,CO000003,CWM10022,Prelodged declaration already processed,Import_Declaration.DeclarationNumber,2022-01-07 22:33:26
DK220122926,DK1106456634,CO000003,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2022-01-07 23:07:57
DK220173218,DK7099469983,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-01-08 08:08:49
DK220197889,DK6642201119,CO000003,CWM12070,Total number of packages should be greater than zero if there is at least one package for declared items,Import_Declaration.TotalPackages,2022-01-08 08:50:14
DK220181973,DK2227193073,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-01-08 09:00:26
DK220122347,DK8854238082,CO000002,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-01-08 12:23:11
DK220196169,DK6923301988,CO000003,CWM10022,Prelodged declaration already processed,Import_Declaration.DeclarationNumber,2022-01-08 15:33:31
DK220162275,DK7625464411,CO000003,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2022-01-08 16:01:27
DK220158460,DK9807209816,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-01-09 06:21:34
DK220118537,DK6474354351,CO000002,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-01-09 15:29:43
DK220189258,DK9421518487,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-01-09 16:47:03
DK220159145,DK9573276057,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-01-10 05:48:51
DK220177703,DK5774080233,CO000003,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2022-01-10 07:51:53
DK220164499,DK9703905715,CO000001,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-01-10 08:46:26
DK220176146,DK7114223633,CO000001,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-01-10 09:46:41
DK220143992,DK4034047118,CO000001,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-01-10 11:45:29
DK220196561,DK9786748825,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-01-10 14:39:21
DK220112833,DK8763140509,CO000003,CWM12072,Gross mass should be greater or equal than the sum of all individual gross mass,Import_Declaration.TotalGrossMass,2022-01-10 16:08:35
DK220191524,DK6642201119,CO000003,CWM10039,The LRN maximum allowed length is 20 characters,Import_Declaration.LRN,2022-01-10 16:48:25
DK220117805,DK4163119785,CO000003,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2022-01-10 18:41:39
DK220176339,DK7540301973,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-01-10 19:16:54
DK220135888,DK5646751885,CO000003,CWM12072,Gross mass should be greater or equal than the sum of all individual gross mass,Import_Declaration.TotalGrossMass,2022-01-10 21:39:13
DK220151028,DK6923206003,CO000003,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-01-10 23:03:58
DK220142462,DK5419627962,CO000003,TMSV9999,Unknown error result,,2022-01-11 00:52:37
DK220161434,DK4696689457,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-01-11 06:31:09
DK220172198,DK8826851692,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-01-11 11:21:03
DK220188965,DK9080621072,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-01-11 14:39:42
DK220155558,DK1116402431,CO000001,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-01-11 15:21:42
DK220187790,DK3660223333,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-01-11 16:58:21
DK220142045,DK3303082117,CO000003,CWM10039,The LRN maximum allowed length is 20 characters,Import_Declaration.LRN,2022-01-12 05:57:35
DK220154498,DK1519709079,CO000002,CWM12072,Gross mass should be greater or equal than the sum of all individual gross mass,Import_Declaration.TotalGrossMass,2022-01-12 08:01:00
DK220140967,DK4070964768,CO000001,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2022-01-12 08:33:41
DK220114907,DK6242173772,CO000003,CWM12072,Gross mass should be greater or equal than the sum of all individual gross mass,Import_Declaration.TotalGrossMass,2022-01-12 09:16:29
DK220152876,DK2627677155,CO000001,CWM10039,The LRN maximum allowed length is 20 characters,Import_Declaration.LRN,2022-01-12 09:17:20
DK220130704,DK1041531046,CO000003,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2022-01-12 10:04:26
DK220191986,DK6464693977,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-01-12 11:08:51
DK220181628,DK3792347639,CO000002,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2022-01-12 12:19:03
DK220198097,DK9526836552,CO000001,CWM12006,Authorization warning: invalid import/export license number,Import_Declaration.ImporterIdentification,2022-01-12 13:43:24
DK220112221,DK9285415473,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-01-12 13:47:03
DK220156617,DK8507497883,CO000001,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-01-12 13:54:03
DK220187068,DK9573276057,CO000003,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-01-12 16:56:31
DK220130325,DK9526836552,CO000001,CWM10022,Prelodged declaration already processed,Import_Declaration.DeclarationNumber,2022-01-12 18:29:20
DK220189027,DK1116402431,CO000001,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-01-13 08:44:16
DK220117171,DK6204041308,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-01-13 09:04:24
DK220195069,DK3746317213,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-01-13 09:09:15
DK220133778,DK4070964768,CO000003,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-01-13 10:15:37
DK220168876,DK4882343658,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-01-13 11:12:02
DK220110225,DK5033992825,CO000003,CWM10022,Prelodged declaration already processed,Import_Declaration.DeclarationNumber,2022-01-13 11:22:50
DK220196961,DK2591589823,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-01-13 13:11:23
DK220184417,DK9285415473,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-01-13 13:36:35
DK220136796,DK3987248494,CO000001,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-01-13 14:39:34
DK220156924,DK7380780055,CO000001,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2022-01-13 14:51:32
DK220149008,DK3660223333,CO000003,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2022-01-13 15:14:21
DK220151938,DK9421518487,CO000003,CWM10022,Prelodged declaration already processed,Import_Declaration.DeclarationNumber,2022-01-13 15:45:31
DK220181058,DK5951406973,CO000003,CWM10039,The LRN maximum allowed length is 20 characters,Import_Declaration.LRN,2022-01-13 17:06:05
DK220144281,DK9703905715,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-01-13 18:44:10
DK220193899,DK2699887270,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-01-13 18:51:18
DK220156066,DK4289233844,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-01-14 08:05:32
DK220160970,DK5033992825,CO000003,CWM12072,Gross mass should be greater or equal than the sum of all individual gross mass,Import_Declaration.TotalGrossMass,2022-01-14 08:29:04
DK220189784,DK4361393222,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-01-14 09:10:03
DK220115542,DK4700855390,CO000003,CWM10022,Prelodged declaration already processed,Import_Declaration.DeclarationNumber,2022-01-14 11:04:36
DK220137430,DK9807209816,CO000001,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-01-14 12:58:09
DK220198227,DK2699887270,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-01-14 13:14:36
DK220118853,DK7114223633,CO000001,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-01-14 13:49:14
DK220188228,DK2439622619,CO000002,CWM12006,Authorization warning: invalid import/export license number,Import_Declaration.ImporterIdentification,2022-01-14 13:50:53
DK220178090,DK6242173772,CO000001,CWM12006,Authorization warning: invalid import/export license number,Import_Declaration.ExporterIdentification,2022-01-14 13:56:37
DK220117183,DK8664882079,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-01-14 14:29:44
DK220121878,DK5033992825,CO000001,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2022-01-14 15:11:29
DK220180472,DK8934927891,CO000003,TMSV9999,Unknown error result,,2022-01-14 15:39:47
DK220164805,DK8086172302,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-01-14 18:29:17
DK220133113,DK8507497883,CO000003,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2022-01-14 20:18:09
DK220187684,DK4696689457,CO000003,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-01-14 20:30:49
DK220121856,DK6859286614,CO000003,CWM10039,The LRN maximum allowed length is 20 characters,Import_Declaration.LRN,2022-01-15 06:09:13
DK220197983,DK3710566582,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-01-15 09:57:41
DK220131104,DK8826851692,CO000003,CWM10039,The LRN maximum allowed length is 20 characters,Import_Declaration.LRN,2022-01-16 09:55:06
DK220192181,DK1983297492,CO000003,CWM12006,Authorization warning: invalid import/export license number,Import_Declaration.ExporterIdentification,2022-01-16 11:55:21
DK220195986,DK4239406957,CO000002,CWM12070,Total number of packages should be greater than zero if there is at least one package for declared items,Import_Declaration.TotalPackages,2022-01-16 13:23:15
DK220199437,DK4696689457,CO000003,CWM10022,Prelodged declaration already processed,Import_Declaration.DeclarationNumber,2022-01-16 21:40:53
DK220181836,DK1667779376,CO000003,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2022-01-17 04:05:04
DK220111365,DK4026113008,CO000003,CWM12072,Gross mass should be greater or equal than the sum of all individual gross mass,Import_Declaration.TotalGrossMass,2022-01-17 05:36:34
DK220164625,DK5646751885,CO000003,CWM12006,Authorization warning: invalid import/export license number,Import_Declaration.ImporterIdentification,2022-01-17 06:32:00
DK220178750,DK1798112150,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-01-17 07:36:53
DK220171219,DK7625464411,CO000001,CWM12006,Authorization warning: invalid import/export license number,Import_Declaration.ExporterIdentification,2022-01-17 07:38:59
DK220139719,DK7249213370,CO000002,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-01-17 10:34:57
DK220196774,DK6317189421,CO000001,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-01-17 12:10:31
DK220135696,DK8033702319,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-01-17 12:47:23
DK220143523,DK8106906538,CO000003,CWM10039,The LRN maximum allowed length is 20 characters,Import_Declaration.LRN,2022-01-17 13:20:26
DK220141069,DK2232285036,CO000002,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-01-17 14:53:50
DK220126799,DK8531118333,CO000003,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-01-17 17:19:56
DK220173632,DK8033702319,CO000003,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-01-18 07:15:52
DK220173897,DK1798112150,CO000001,TMSV0003,Commodity code can not be declared (unknown commodity code),Declaration_Items.CommodityCode,2022-01-18 08:33:19
DK220184388,DK9922723063,CO000003,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2022-01-18 08:45:32
DK220118836,DK7333678472,CO000003,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2022-01-18 09:36:50
DK220177396,DK7462972995,CO000003,CWM12070,Total number of packages should be greater than zero if there is at least one package for declared items,Import_Declaration.TotalPackages,2022-01-18 10:24:31
DK220136577,DK4965395580,CO000001,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-01-18 13:32:46
DK220137926,DK6587537178,CO000003,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-01-18 13:53:28
DK220136813,DK9703905715,CO000001,CWM12006,Authorization warning: invalid import/export license number,Import_Declaration.ExporterIdentification,2022-01-18 14:15:20
DK220131246,DK1041531046,CO000003,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-01-18 16:37:58
DK220140309,DK8934927891,CO000003,CWM10040,Referenced declaration does not exist,Import_Declaration.DeclarationNumber,2022-01-18 21:56:39
DK220141851,DK2232285036,CO000003,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-01-19 05:16:39
DK220134281,DK7114223633,CO000001,CWM20002,Declaration Office ID is mandatory,Import_Declaration.PointOfClearance,2022-01-19 08:18:21
DK220198314,DK2970753705,CO000002,CWM12072,Gross mass should be greater or equal than the sum of all individual gross mass,Import_Declaration.TotalGrossMass,2022-01-19 08:44:52
DK220116011,DK6204041308,CO000001,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-01-19 09:22:50
DK220171941,DK9904586976,CO000001,TMSV0059,Incomplete commodity code,Declaration_Items.CommodityCode,2022-01-19 10:53:12
DK220127241,DK7333678472,CO000001,CWM12070,Total number of packages should be greater than zero if there is at least one package for declared items,Import_Declaration.TotalPackages,2022-01-19 11:30:51
DK220115966,DK8531118333,CO000001,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2022-01-19 13:29:05
DK220136310,DK8285786023,CO000002,CWM10022,Prelodged declaration already processed,Import_Declaration.DeclarationNumber,2022-01-19 14:01:50
DK220120707,DK1041531046,CO000001,CWM12070,Total number of packages should be greater than zero if there is at least one package for declared items,Import_Declaration.TotalPackages,2022-01-19 14:08:32
DK220173615,DK1983297492,CO000002,CWM10036,Procedure Category is not equivalent to the appropriate regime,Import_Declaration.DeclarationType,2022-01-19 15:02:35
DK220124873,DK8316648259,CO000003,CWM20003,LRN is empty. Please fill in all the required fields.,Import_Declaration.LRN,2022-01-19 15:37:47
DK220196023,DK1116402431,CO000003,CWM12006,Authorization warning: invalid import/export license number,Import_Declaration.ExporterIdentification,2022-01-19 17:47:10
